"SPECIES: common name","Edible frog"
"SPECIES: Latin  name","Rana esculenta"
"RETINAL CELL TYPE NAME: as published","alpha-a RGC"
"OTHER MOSAICS in same sampling field","alpha-ab, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Scalia, Tóth, Cook (1997) Vis Neurosci 14: 1109-1127"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7D"
"RETINAL LOCATION of sampling field","left retina, central region including part of streak"
"NUMBER OF CELLS",115
"AREA OF SAMPLED FIELD (sq mm)",18.064
"TOTAL RETINAL AREA (sq mm)",73.5
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","region of least apparent alpha-c cell undersampling: see lower part of Table 1 Col 1"
"X","Y"
 5919 , 14279 
 5701 , 13857 
 6678 , 13651 
 6380 , 13464 
 6048 , 13355 
 7031 , 13211 
 5063 , 13152 
 6571 , 13084 
 6053 , 13003 
 4433 , 12863 
 5525 , 12817 
 5993 , 12735 
 6823 , 12674 
 5804 , 12559 
 5392 , 12410 
 5767 , 12296 
 6446 , 12293 
 4614 , 12273 
 6752 , 12179 
 3784 , 12099 
 4887 , 12082 
 5817 , 11887 
 4207 , 11843 
 6316 , 11811 
 7693 , 11737 
 7962 , 11705 
 6572 , 11632 
 5667 , 11612 
 6179 , 11600 
 6887 , 11600 
 7220 , 11515 
 4083 , 11405 
 6454 , 11363 
 7624 , 11352 
 5139 , 11324 
 7768 , 11210 
 8192 , 11205 
 7085 , 11139 
 7512 , 11052 
 6593 , 10986 
 7964 , 10963 
 7076 , 10931 
 5251 , 10914 
 7445 , 10893 
 8084 , 10860 
 6005 , 10851 
 5643 , 10847 
 4097 , 10787 
 6951 , 10697 
 7357 , 10644 
 4425 , 10642 
 7030 , 10480 
 6655 , 10478 
 4528 , 10420 
 6137 , 10405 
 3744 , 10344 
 4846 , 10240 
 4138 , 10230 
 7212 , 10225 
 4443 , 10224 
 5876 , 10164 
 6996 , 10125 
 5204 , 9999 
 6152 , 9966 
 6530 , 9879 
 4522 , 9726 
 4835 , 9526 
 3898 , 9458 
 5357 , 9377 
 5050 , 9359 
 4569 , 9051 
 4818 , 8673 
 4394 , 8530 
 4786 , 8392 
 6734 , 8317 
 5788 , 8197 
 4514 , 8164 
 5018 , 8153 
 6361 , 8062 
 6754 , 8062 
 5969 , 8022 
 4818 , 7993 
 7556 , 7864 
 6646 , 7778 
 7237 , 7733 
 5909 , 7636 
 5647 , 7570 
 5320 , 7566 
 7411 , 7520 
 7777 , 7384 
 7490 , 7290 
 5079 , 7243 
 7767 , 7118 
 6399 , 7093 
 5840 , 7086 
 7342 , 7076 
 6642 , 6968 
 5455 , 6941 
 5161 , 6913 
 7050 , 6897 
 7604 , 6854 
 5366 , 6766 
 6161 , 6703 
 6356 , 6608 
 7344 , 6567 
 7181 , 6453 
 5903 , 6389 
 6572 , 6373 
 6994 , 6225 
 7298 , 6201 
 5642 , 6170 
 6497 , 6043 
 7216 , 6030 
 5900 , 6018 
 6326 , 5811 
