"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","alpha-a"
"OTHER MOSAICS in same sampling field","alpha-ab"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 5A"
"RETINAL LOCATION of sampling field","right eye, DT/VT regions"
"NUMBER OF CELLS",94
"AREA OF SAMPLED FIELD (sq mm)",3.00
"TOTAL RETINAL AREA (sq mm)",13.75
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1, Col 2"
"X","Y"
 2730 , 6598 
 2177 , 6589 
 2345 , 6555 
 1942 , 6553 
 2917 , 6369 
 2222 , 6354 
 1915 , 6284 
 2618 , 6272 
 2194 , 6250 
 2360 , 6247 
 2879 , 6189 
 1832 , 6164 
 2555 , 6157 
 2347 , 6131 
 2672 , 6124 
 1521 , 6094 
 1920 , 6063 
 2077 , 6061 
 2362 , 6034 
 1192 , 5965 
 1663 , 5964 
 1463 , 5946 
 1848 , 5917 
 2241 , 5884 
 2942 , 5852 
 1602 , 5830 
 1344 , 5823 
 2114 , 5776 
 2668 , 5771 
 1142 , 5739 
 2195 , 5679 
 2864 , 5672 
 1878 , 5658 
 1796 , 5608 
 1421 , 5608 
 2563 , 5607 
 2031 , 5573 
 1294 , 5541 
 1644 , 5479 
 1173 , 5458 
 976 , 5434 
 853 , 5416 
 694 , 5311 
 901 , 5260 
 1538 , 5227 
 1107 , 5169 
 1666 , 5162 
 853 , 5160 
 1452 , 5141 
 1907 , 5093 
 1316 , 5056 
 970 , 5012 
 1629 , 5004 
 1194 , 4967 
 1672 , 4894 
 1316 , 4804 
 1431 , 4781 
 1614 , 4714 
 2015 , 4649 
 2202 , 4624 
 1876 , 4610 
 2953 , 4576 
 2762 , 4557 
 3096 , 4554 
 1239 , 4543 
 1416 , 4532 
 2400 , 4518 
 2957 , 4442 
 1771 , 4431 
 1223 , 4405 
 2638 , 4394 
 1601 , 4389 
 1411 , 4369 
 1099 , 4331 
 3027 , 4271 
 1212 , 4240 
 1346 , 4212 
 2228 , 4209 
 1470 , 4188 
 1001 , 4180 
 1671 , 4039 
 1295 , 4035 
 1956 , 4026 
 1820 , 4014 
 1604 , 3907 
 1499 , 3907 
 2092 , 3903 
 1920 , 3835 
 1054 , 3759 
 941 , 3759 
 1833 , 3662 
 1605 , 3662 
 1026 , 3625 
 1444 , 3573 
