"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","alpha-a, alpha-ab"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 5C"
"RETINAL LOCATION of sampling field","right eye, DT/VT regions"
"NUMBER OF CELLS",347
"AREA OF SAMPLED FIELD (sq mm)",3.00
"TOTAL RETINAL AREA (sq mm)",13.75
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","overlay of alpha-a and alpha-ab mosaics"
"X","Y"
 2578 , 6608 
 2730 , 6598 
 2660 , 6592 
 2216 , 6590 
 2177 , 6589 
 2502 , 6558 
 2345 , 6555 
 1942 , 6553 
 2328 , 6536 
 1990 , 6533 
 2113 , 6525 
 2831 , 6514 
 2710 , 6493 
 1833 , 6478 
 1924 , 6468 
 2443 , 6448 
 2555 , 6430 
 2630 , 6428 
 2270 , 6415 
 2171 , 6377 
 1866 , 6371 
 2917 , 6369 
 2443 , 6366 
 2840 , 6364 
 2735 , 6357 
 2222 , 6354 
 2258 , 6343 
 2560 , 6340 
 2935 , 6329 
 2381 , 6292 
 2295 , 6285 
 1915 , 6284 
 2088 , 6281 
 2997 , 6278 
 2618 , 6272 
 2621 , 6257 
 1983 , 6250 
 2194 , 6250 
 2360 , 6247 
 2711 , 6243 
 2491 , 6231 
 1837 , 6230 
 2144 , 6195 
 2961 , 6193 
 2054 , 6192 
 2879 , 6189 
 1904 , 6176 
 2785 , 6173 
 2396 , 6167 
 1832 , 6164 
 2555 , 6157 
 2858 , 6144 
 2565 , 6143 
 2347 , 6131 
 2672 , 6124 
 2083 , 6123 
 2180 , 6111 
 2298 , 6110 
 1758 , 6104 
 1582 , 6102 
 1948 , 6098 
 1860 , 6097 
 1521 , 6094 
 2718 , 6093 
 1920 , 6063 
 2077 , 6061 
 2051 , 6046 
 1654 , 6046 
 2878 , 6045 
 1345 , 6044 
 2362 , 6034 
 2186 , 6002 
 1720 , 5972 
 2263 , 5970 
 1192 , 5965 
 1663 , 5964 
 1598 , 5948 
 1463 , 5946 
 1785 , 5941 
 1992 , 5933 
 1848 , 5917 
 2751 , 5916 
 2104 , 5900 
 2241 , 5884 
 2325 , 5877 
 1210 , 5866 
 2839 , 5852 
 2942 , 5852 
 1548 , 5850 
 2200 , 5849 
 1719 , 5847 
 1295 , 5843 
 1991 , 5832 
 1602 , 5830 
 1344 , 5823 
 2899 , 5803 
 2754 , 5800 
 1420 , 5788 
 1829 , 5779 
