"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","D1 receptor doublets"
"OTHER MOSAICS in same sampling field","radial dendritic links"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Figs 9, 10A, 10C"
"RETINAL LOCATION of sampling field","n/a"
"NUMBER OF CELLS",411
"AREA OF SAMPLED FIELD (sq mm)","n/a"
"TOTAL RETINAL AREA (sq mm)","n/a"
"UNIT OF X,Y (microns)",0.1667
"COMMENTS","receptor mosaic plotted at x600 (5x usual magnification) over three non-overlapping regions of the same retina"
"X","Y"
 1569 , 4805 
 1647 , 4797 
 1437 , 4776 
 1528 , 4773 
 1726 , 4769 
 1607 , 4754 
 1387 , 4747 
 1683 , 4746 
 1480 , 4722 
 1556 , 4721 
 1345 , 4713 
 1640 , 4708 
 1424 , 4691 
 1515 , 4685 
 1313 , 4675 
 1593 , 4674 
 1373 , 4661 
 1466 , 4647 
 1726 , 4640 
 1775 , 4635 
 1546 , 4631 
 1264 , 4630 
 1333 , 4624 
 1428 , 4621 
 1629 , 4618 
 1497 , 4593 
 1773 , 4593 
 1214 , 4593 
 1579 , 4579 
 1299 , 4579 
 1375 , 4577 
 1451 , 4558 
 1173 , 4553 
 1528 , 4550 
 1330 , 4549 
 1955 , 4538 
 1887 , 4538 
 1415 , 4535 
 1200 , 4528 
 1826 , 4518 
 1284 , 4514 
 1495 , 4513 
 1367 , 4512 
 1559 , 4509 
 1697 , 4506 
 1914 , 4498 
 1654 , 4497 
 1449 , 4488 
 1319 , 4486 
 1245 , 4477 
 1517 , 4477 
 1698 , 4470 
 1604 , 4464 
 1853 , 4462 
 1570 , 4436 
 1651 , 4433 
 1272 , 4399 
 1621 , 4394 
 1355 , 4375 
 1755 , 4367 
 1815 , 4363 
 1568 , 4359 
 1299 , 4356 
 1178 , 4343 
 1897 , 4338 
 1726 , 4337 
 1387 , 4331 
 1246 , 4327 
 1516 , 4325 
 1760 , 4312 
 1356 , 4308 
 1435 , 4306 
 1844 , 4303 
 1473 , 4296 
 1682 , 4295 
 1204 , 4294 
 1814 , 4281 
 1388 , 4279 
 1297 , 4273 
 1163 , 4268 
 1632 , 4267 
 1429 , 4256 
 1246 , 4254 
 1557 , 4251 
 1691 , 4244 
 1327 , 4237 
 1502 , 4231 
 1382 , 4226 
 1584 , 4226 
 1281 , 4218 
 1330 , 4204 
 1458 , 4196 
 1735 , 4195 
 1652 , 4186 
 432 , 4177 
 1421 , 4171 
 1302 , 4168 
 396 , 4163 
 1368 , 4153 
 1245 , 4150 
 337 , 4144 
 1196 , 4138 
 504 , 4124 
 292 , 4123 
 1152 , 4122 
 1328 , 4121 
 240 , 4114 
 1067 , 4112 
 1462 , 4109 
 1613 , 4104 
 449 , 4103 
 1110 , 4103 
 190 , 4096 
 578 , 4088 
 406 , 4085 
 1006 , 4081 
 152 , 4081 
 1238 , 4081 
 354 , 4077 
 1420 , 4075 
 1683 , 4068 
 95 , 4067 
 1563 , 4065 
 531 , 4064 
 950 , 4064 
 308 , 4063 
 1755 , 4058 
 1183 , 4056 
 1361 , 4053 
 473 , 4051 
 422 , 4043 
 1127 , 4043 
 251 , 4040 
 595 , 4039 
 1090 , 4037 
-41 , 4036 
 1735 , 4034 
 218 , 4033 
 8 , 4031 
 1310 , 4031 
-103 , 4030 
 163 , 4027 
 1252 , 4023 
 541 , 4020 
 367 , 4019 
 316 , 4016 
 1030 , 4013 
-160 , 4013 
 1204 , 4011 
 1614 , 4009 
 1795 , 4007 
 1481 , 4007 
 105 , 4000 
 1869 , 3998 
 487 , 3996 
 718 , 3995 
 50 , 3992 
 1145 , 3992 
 1681 , 3988 
 274 , 3987 
 1358 , 3985 
 665 , 3982 
 438 , 3978 
 1247 , 3978 
 225 , 3972 
 1096 , 3972 
 1178 , 3971 
-21 , 3971 
 1753 , 3971 
 1826 , 3966 
 620 , 3965 
 1631 , 3964 
 1519 , 3964 
-90 , 3960 
 1056 , 3957 
 388 , 3957 
 1449 , 3956 
-157 , 3956 
 170 , 3953 
 568 , 3950 
 119 , 3942 
 1394 , 3938 
 1719 , 3937 
 512 , 3937 
 998 , 3935 
 340 , 3934 
-28 , 3930 
 1588 , 3929 
 1230 , 3928 
 1476 , 3927 
 1792 , 3925 
 78 , 3924 
 462 , 3923 
 1169 , 3921 
 291 , 3918 
 1118 , 3913 
-82 , 3912 
 1877 , 3908 
 1553 , 3905 
 39 , 3900 
 1677 , 3898 
 237 , 3894 
 1748 , 3893 
-138 , 3892 
 1413 , 3891 
 1068 , 3890 
 193 , 3882 
 406 , 3881 
-14 , 3879 
 354 , 3876 
 136 , 3875 
 1621 , 3873 
 1833 , 3869 
 1713 , 3863 
 1005 , 3858 
 964 , 3856 
 91 , 3855 
-71 , 3855 
 297 , 3850 
 1584 , 3848 
 1408 , 3848 
 37 , 3838 
 245 , 3838 
-111 , 3838 
 1799 , 3835 
 1674 , 3834 
 213 , 3826 
