"SPECIES: common name","Elegant sculpin"
"SPECIES: Latin  name","Bero elegans"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","right eye, area centralis"
"NUMBER OF CELLS",161
"AREA OF SAMPLED FIELD (sq mm)",2.27
"TOTAL RETINAL AREA (sq mm)",65.77
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","unpublished alpha-ab data from the single Bero retina that was studied for this paper"
"X","Y"
 7906 , 14285 
 7594 , 14249 
 8034 , 14209 
 7370 , 14185 
 7820 , 14148 
 8256 , 14145 
 7662 , 14134 
 7481 , 14123 
 8393 , 14101 
 8172 , 14079 
 7731 , 14069 
 7313 , 14048 
 7566 , 14033 
 8106 , 14017 
 7968 , 14015 
 8360 , 13999 
 7823 , 13996 
 7764 , 13945 
 7549 , 13935 
 7376 , 13920 
 7859 , 13918 
 8426 , 13907 
 7995 , 13905 
 7125 , 13894 
 8085 , 13876 
 7261 , 13875 
 7914 , 13845 
 8023 , 13819 
 8106 , 13815 
 7636 , 13800 
 7527 , 13777 
 8194 , 13774 
 7079 , 13765 
 7835 , 13753 
 8125 , 13714 
 8036 , 13710 
 7295 , 13702 
 8318 , 13700 
 7724 , 13695 
 7601 , 13687 
 7408 , 13666 
 7873 , 13634 
 8266 , 13608 
 7323 , 13573 
 7533 , 13569 
 8357 , 13564 
 7620 , 13556 
 8532 , 13537 
 8005 , 13527 
 7187 , 13501 
 7289 , 13456 
 7058 , 13447 
 7420 , 13443 
 7514 , 13441 
 7865 , 13433 
 7953 , 13430 
 7344 , 13415 
 8067 , 13408 
 7787 , 13396 
 8190 , 13384 
 7127 , 13381 
 8441 , 13371 
 7671 , 13370 
 7011 , 13331 
 8235 , 13323 
 7343 , 13320 
 7956 , 13300 
 8535 , 13295 
 7222 , 13283 
 7798 , 13282 
 7649 , 13272 
 8044 , 13251 
 7866 , 13237 
 8356 , 13226 
 7078 , 13225 
 7637 , 13202 
 7983 , 13199 
 7428 , 13198 
 7718 , 13178 
 7533 , 13177 
 7152 , 13168 
 8426 , 13149 
 8093 , 13131 
 7910 , 13131 
 7364 , 13118 
 8296 , 13110 
 7245 , 13109 
 8535 , 13102 
 8194 , 13063 
 8347 , 13060 
 8103 , 13059 
 7773 , 13054 
 8457 , 13051 
 7931 , 13046 
 7181 , 13037 
 7572 , 13027 
 7450 , 13007 
 8266 , 13006 
 8018 , 12978 
 8101 , 12953 
 7625 , 12951 
 8218 , 12948 
 7353 , 12942 
 7833 , 12935 
 8376 , 12921 
 7459 , 12913 
 8026 , 12883 
 8294 , 12880 
 7536 , 12878 
 8155 , 12874 
 7916 , 12873 
 8443 , 12864 
 7619 , 12857 
 7186 , 12853 
 7318 , 12828 
 8351 , 12804 
 7729 , 12796 
 7388 , 12792 
 8036 , 12784 
 7510 , 12782 
 8115 , 12779 
 7114 , 12752 
 8470 , 12749 
 7602 , 12745 
 7804 , 12731 
 7441 , 12692 
 7906 , 12689 
 8170 , 12671 
 7364 , 12651 
 7684 , 12647 
 7559 , 12645 
 8038 , 12644 
 7840 , 12623 
 8408 , 12616 
 8231 , 12613 
 7990 , 12582 
 7469 , 12568 
 7902 , 12563 
 8098 , 12562 
 7755 , 12539 
 8193 , 12535 
 7329 , 12531 
 8377 , 12496 
 8267 , 12491 
 7532 , 12479 
 7957 , 12475 
 7390 , 12465 
 7670 , 12446 
 8082 , 12425 
 7258 , 12408 
 7962 , 12406 
 7522 , 12382 
 7823 , 12381 
 7678 , 12366 
 8208 , 12357 
 7389 , 12331 
 7844 , 12288 
 8080 , 12286 
 7426 , 12232 
 7511 , 12161 
 7769 , 12119 
