"SPECIES: common name","Goldfish"
"SPECIES: Latin  name","Carassius auratus"
"RETINAL CELL TYPE NAME: as published","outer alpha (alpha-a)"
"OTHER MOSAICS in same sampling field","no"
"PRIMARY CITATION for these mosaics","Cook, Becker and Kapila (1992) J Comp Neurol 318: 355-366"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","VT/DT quadrants"
"NUMBER OF CELLS",126
"AREA OF SAMPLED FIELD (sq mm)",11.71
"TOTAL RETINAL AREA (sq mm)",33.39
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","Largest of several such retinae studied"
"X","Y"
 4055 , 11057 
 3984 , 10867 
 3740 , 10837 
 4388 , 10767 
 3981 , 10581 
 3133 , 10529 
 3505 , 10511 
 5304 , 10442 
 4269 , 10435 
 4614 , 10340 
 3765 , 10262 
 3068 , 10160 
 3422 , 10133 
 5002 , 10101 
 4164 , 10097 
 2086 , 10068 
 5378 , 9967 
 4338 , 9844 
 3260 , 9797 
 2529 , 9790 
 3926 , 9782 
 2225 , 9682 
 4697 , 9681 
 5049 , 9655 
 4260 , 9646 
 3793 , 9619 
 5380 , 9525 
 4423 , 9481 
 2446 , 9450 
 5105 , 9381 
 4760 , 9354 
 2212 , 9323 
 2680 , 9256 
 3666 , 9235 
 2458 , 9153 
 4553 , 9149 
 1950 , 9148 
 4970 , 9062 
 5406 , 9053 
 2880 , 9041 
 4151 , 9023 
 2080 , 8956 
 3269 , 8949 
 3902 , 8813 
 3450 , 8769 
 4681 , 8742 
 2530 , 8702 
 2256 , 8682 
 1863 , 8679 
 4318 , 8678 
 3230 , 8667 
 4992 , 8640 
 2790 , 8586 
 3031 , 8494 
 3794 , 8493 
 2505 , 8350 
 3503 , 8318 
 2789 , 8217 
 2254 , 8200 
 1713 , 8165 
 3440 , 8128 
 1964 , 8069 
 3081 , 7978 
 1720 , 7951 
 2574 , 7917 
 3302 , 7882 
 2378 , 7789 
 2052 , 7760 
 1594 , 7742 
 2956 , 7501 
 1458 , 7463 
 2557 , 7455 
 2193 , 7451 
 3331 , 7402 
 3094 , 7304 
 1621 , 7286 
 2817 , 7273 
 2163 , 7260 
 2467 , 7209 
 1899 , 7139 
 3257 , 7058 
 2322 , 7054 
 2568 , 6868 
 1440 , 6857 
 1735 , 6856 
 3221 , 6843 
 2118 , 6807 
 2826 , 6727 
 2314 , 6677 
 1835 , 6659 
 2572 , 6443 
 2076 , 6401 
 1598 , 6331 
 3269 , 6310 
 2864 , 6283 
 2192 , 6192 
 2562 , 6152 
 2137 , 6035 
 1678 , 6031 
 3375 , 5988 
 3482 , 5837 
 3161 , 5831 
 2926 , 5733 
 1923 , 5720 
 1639 , 5718 
 2490 , 5702 
 2625 , 5697 
 2398 , 5587 
 3229 , 5580 
 1562 , 5360 
 2363 , 5341 
 2557 , 5238 
 2079 , 5196 
 2896 , 5111 
 2318 , 5019 
 2640 , 4929 
 1519 , 4898 
 2963 , 4814 
 1406 , 4717 
 2598 , 4637 
 2082 , 4632 
 1751 , 4574 
 1676 , 4344 
 2337 , 4329 
 1933 , 4226 
 1560 , 4109 
