"SPECIES: common name","Elegant sculpin"
"SPECIES: Latin  name","Bero elegans"
"RETINAL CELL TYPE NAME: as published","alpha-ab"
"OTHER MOSAICS in same sampling field","alpha-a"
"PRIMARY CITATION for these mosaics","Cook, Kondrashev & Podugolnikova (1996) Vis Neurosci 13: 517-528"
"MOSAIC/FIELD-BORDER: published fig(s)","n/a"
"RETINAL LOCATION of sampling field","right eye, VT region"
"NUMBER OF CELLS",57
"AREA OF SAMPLED FIELD (sq mm)",2.88
"TOTAL RETINAL AREA (sq mm)",65.77
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","unpublished alpha-ab data from the Bero retina that was studied for this paper; too few biplexiform cells were recorded in this species for mosaic analysis; see spreadsheet for auto/crosscorrelation data"
"X","Y"
 10628 , 11519 
 10327 , 11509 
 11068 , 11463 
 9985 , 11458 
 9299 , 11335 
 10721 , 11331 
 10432 , 11328 
 9954 , 11268 
 10934 , 11247 
 9660 , 11244 
 10186 , 11232 
 9139 , 11199 
 11185 , 11162 
 9419 , 11150 
 10464 , 11136 
 10757 , 11079 
 9969 , 11073 
 9714 , 11062 
 9255 , 11017 
 11012 , 11006 
 10275 , 11000 
 9569 , 10959 
 9936 , 10876 
 10564 , 10859 
 10859 , 10782 
 9383 , 10776 
 9726 , 10762 
 8848 , 10719 
 11116 , 10684 
 9107 , 10665 
 10459 , 10623 
 9995 , 10618 
 9623 , 10584 
 9341 , 10575 
 10251 , 10549 
 9835 , 10505 
 8839 , 10452 
 10530 , 10436 
 9138 , 10434 
 10098 , 10371 
 9584 , 10368 
 10817 , 10321 
 9356 , 10255 
 9836 , 10223 
 10354 , 10216 
 9038 , 10168 
 9611 , 10117 
 10589 , 10091 
 10096 , 10075 
 9219 , 10012 
 9863 , 9957 
 10357 , 9947 
 10867 , 9924 
 10688 , 9829 
 10124 , 9825 
 9056 , 9811 
 9219 , 9683 
