"SPECIES: common name","Common house gecko"
"SPECIES: Latin  name","Hemidactylus frenatus"
"RETINAL CELL TYPE NAME: as published","alpha-a"
"OTHER MOSAICS in same sampling field","n/a"
"PRIMARY CITATION for these mosaics","Cook and Noden (1998) Brain Behav Evol 51: 263-283"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 6"
"RETINAL LOCATION of sampling field","left eye, DN/DT regions"
"NUMBER OF CELLS",187
"AREA OF SAMPLED FIELD (sq mm)",5.40
"TOTAL RETINAL AREA (sq mm)",14.68
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1, Col 1"
"X","Y"
 3466 , 7757 
 3180 , 7708 
 3658 , 7662 
 4057 , 7606 
 3383 , 7565 
 3733 , 7494 
 3986 , 7466 
 3146 , 7430 
 4306 , 7423 
 3341 , 7371 
 3757 , 7344 
 3578 , 7322 
 4113 , 7305 
 3411 , 7244 
 4309 , 7239 
 2931 , 7178 
 3230 , 7152 
 1441 , 7146 
 4167 , 7144 
 1931 , 7119 
 3858 , 7077 
 2094 , 7025 
 2756 , 7005 
 2978 , 6975 
 4619 , 6972 
 1414 , 6972 
 1724 , 6961 
 3593 , 6954 
 1824 , 6945 
 3736 , 6932 
 962 , 6890 
 1911 , 6884 
 4334 , 6867 
 3111 , 6830 
 1531 , 6811 
 2959 , 6808 
 4531 , 6788 
 4143 , 6787 
 3855 , 6749 
 2629 , 6748 
 1851 , 6745 
 1333 , 6741 
 1009 , 6716 
 4306 , 6710 
 2222 , 6693 
 4655 , 6691 
 1628 , 6690 
 3461 , 6682 
 2870 , 6676 
 1162 , 6675 
 3149 , 6644 
 3818 , 6619 
 3282 , 6612 
 2072 , 6609 
 1488 , 6576 
 981 , 6560 
 4166 , 6547 
 3577 , 6544 
 1345 , 6507 
 4639 , 6498 
 2948 , 6495 
 2695 , 6491 
 3952 , 6491 
 855 , 6478 
 4430 , 6468 
 1693 , 6466 
 1141 , 6455 
 2316 , 6441 
 626 , 6437 
 2003 , 6421 
 4543 , 6402 
 1461 , 6380 
 3855 , 6375 
 1005 , 6366 
 3033 , 6358 
 3488 , 6357 
 4265 , 6357 
 706 , 6356 
 4872 , 6350 
 1587 , 6332 
 1141 , 6331 
 3303 , 6326 
 2837 , 6322 
 4051 , 6303 
 1881 , 6293 
 1396 , 6293 
 2410 , 6291 
 2065 , 6290 
 908 , 6264 
 2250 , 6251 
 702 , 6243 
 3598 , 6240 
 4773 , 6230 
 4448 , 6228 
 1698 , 6213 
 3152 , 6203 
 4585 , 6193 
 1234 , 6192 
 1562 , 6164 
 751 , 6160 
 3989 , 6155 
 955 , 6144 
 3007 , 6118 
 1895 , 6110 
 3748 , 6109 
 2346 , 6108 
 2039 , 6105 
 389 , 6083 
 4298 , 6079 
 2779 , 6076 
 1433 , 6075 
 1159 , 6073 
 633 , 6050 
 852 , 6033 
 1307 , 6026 
 2638 , 6025 
 4427 , 6017 
 1744 , 6014 
 1606 , 5995 
 1007 , 5985 
 2193 , 5959 
 2063 , 5946 
 1321 , 5901 
 1454 , 5898 
 2309 , 5889 
 761 , 5864 
 1158 , 5863 
 405 , 5861 
 591 , 5857 
 1628 , 5841 
 1872 , 5841 
 833 , 5770 
 1321 , 5758 
 1941 , 5733 
 605 , 5730 
 2334 , 5722 
 1433 , 5700 
 2089 , 5686 
 1785 , 5673 
 1618 , 5672 
 1163 , 5655 
 437 , 5642 
 999 , 5622 
 2000 , 5559 
 1249 , 5558 
 1703 , 5551 
 1875 , 5529 
 1435 , 5518 
 2180 , 5470 
 899 , 5466 
 1060 , 5464 
 1894 , 5419 
 1323 , 5354 
 2633 , 5352 
 587 , 5330 
 1837 , 5287 
 1702 , 5269 
 956 , 5265 
 1469 , 5238 
 2205 , 5223 
 2400 , 5220 
 2092 , 5218 
 2774 , 5210 
 1046 , 5205 
 768 , 5202 
 2903 , 5186 
 2537 , 5140 
 539 , 5133 
 1792 , 5116 
 2707 , 5093 
 1625 , 5082 
 1308 , 5076 
 1468 , 5071 
 1921 , 5056 
 633 , 5055 
 2377 , 5042 
 2623 , 5023 
 964 , 5017 
 2245 , 4993 
 1769 , 4933 
 1957 , 4926 
 2749 , 4899 
 1589 , 4868 
 2978 , 4866 
 2399 , 4862 
 2059 , 4857 
 2628 , 4838 
