"SPECIES: common name","Florida garfish"
"SPECIES: Latin  name","Lepisosteus platyrhincus, Ginglymodi"
"RETINAL CELL TYPE NAME: as published","Type 1"
"OTHER MOSAICS in same sampling field","Type 2"
"PRIMARY CITATION for these mosaics","Collin S.P and Northcutt, R.G. (1993) Brain Behav Evol 42: 295-320"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig. 9A"
"RETINAL LOCATION of sampling field","full retina"
"NUMBER OF CELLS",116
"AREA OF SAMPLED FIELD (sq mm)",36.16
"TOTAL RETINAL AREA (sq mm)",36.16
"UNIT OF X,Y (microns)",1.667
"COMMENTS","Re-digitized from the original authors' printed Figs: see general Excel catalogue for NND, auto- and crosscorrelogram data implying that both mosaics show subsets of a single natural RGC type; NOTE that the scaling of X,Y is non-standard and that relative spatial values (ER and NND) are more exact than absolute values. Absolute values rely on the precision to which the published scale bar could be measured; this probably accounts for a ~1% difference between the authors' mean NNDs and ours." 
"X","Y"
 1111 , 6734 
 1989 , 6709 
 1527 , 6636 
 2794 , 6525 
 1335 , 6517 
 2551 , 6349 
 3044 , 6341 
 1543 , 6320 
 1962 , 6308 
 2228 , 6230 
 1593 , 6126 
 1988 , 6095 
 2808 , 6085 
 3238 , 6042 
 2415 , 6007 
 669 , 5878 
 2915 , 5830 
 2673 , 5825 
 1958 , 5823 
 4268 , 5807 
 3242 , 5751 
 964 , 5700 
 2267 , 5696 
 1618 , 5694 
 4347 , 5646 
 728 , 5641 
 2979 , 5629 
 4016 , 5601 
 359 , 5545 
 3000 , 5463 
 2760 , 5457 
 1173 , 5457 
 1677 , 5444 
 3793 , 5435 
 1962 , 5433 
 3366 , 5417 
 2404 , 5380 
 1458 , 5301 
 4429 , 5267 
 410 , 5240 
 595 , 5238 
 1180 , 5178 
 1455 , 5170 
 2045 , 5154 
 2800 , 5147 
 1617 , 5141 
 3589 , 5117 
 762 , 5109 
 3002 , 5087 
 518 , 5033 
 991 , 4991 
 4071 , 4979 
 2483 , 4938 
 3775 , 4937 
 521 , 4932 
 3303 , 4925 
 1306 , 4911 
 356 , 4898 
 1990 , 4751 
 2763 , 4742 
 3087 , 4741 
 3398 , 4734 
 4371 , 4733 
 1071 , 4733 
 617 , 4714 
 1619 , 4712 
 3910 , 4658 
 2217 , 4612 
 1320 , 4586 
 3726 , 4585 
 2646 , 4527 
 3505 , 4486 
 1707 , 4452 
 3010 , 4397 
 2101 , 4374 
 1352 , 4373 
 573 , 4371 
 928 , 4370 
 3384 , 4340 
 2681 , 4300 
 1470 , 4214 
 2382 , 4167 
 1726 , 4092 
 3146 , 4067 
 850 , 4053 
 576 , 4053 
 2780 , 4041 
 3778 , 4040 
 2132 , 3999 
 2619 , 3982 
 1370 , 3954 
 3461 , 3947 
 725 , 3821 
 974 , 3814 
 4055 , 3796 
 2896 , 3790 
 1638 , 3787 
 1923 , 3776 
 3709 , 3773 
 2445 , 3752 
 3478 , 3687 
 3139 , 3664 
 1458 , 3625 
 1167 , 3559 
 1819 , 3524 
 2676 , 3484 
 3317 , 3463 
 1986 , 3368 
 2470 , 3304 
 1376 , 3295 
 984 , 3289 
 2877 , 3237 
 1841 , 3196 
 1080 , 3152 
 3055 , 3104 
 1573 , 3049 
