"SPECIES: common name","Catfish"
"SPECIES: Latin  name","Ictalurus punctatus"
"RETINAL CELL TYPE NAME: as published","alpha-a, alpha-b and alpha-c RGCs"
"OTHER MOSAICS in same sampling field","combined plot"
"PRIMARY CITATION for these mosaics","Cook & Sharma (1995) J Comp Neurol 362: 331-349"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 1A"
"RETINAL LOCATION of sampling field","D/DT"
"NUMBER OF CELLS",148
"AREA OF SAMPLED FIELD (sq mm)",2.472
"TOTAL RETINAL AREA (sq mm)",16.01
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","small right retina; 3x overlay"
"X","Y"
 1579 , 7276 
 1832 , 7248 
 1973 , 7238 
 2095 , 7221 
 1706 , 7187 
 2230 , 7176 
 1917 , 7161 
 2262 , 7155 
 2531 , 7116 
 1840 , 7098 
 2125 , 7095 
 1375 , 7087 
 1686 , 7030 
 2471 , 7026 
 1499 , 7010 
 1243 , 7000 
 2294 , 6996 
 1537 , 6994 
 2464 , 6989 
 2001 , 6964 
 2738 , 6960 
 2077 , 6917 
 1606 , 6908 
 2664 , 6884 
 2259 , 6871 
 1546 , 6848 
 1879 , 6835 
 2739 , 6819 
 2923 , 6816 
 2101 , 6810 
 2432 , 6804 
 2845 , 6774 
 2915 , 6773 
 2701 , 6761 
 2587 , 6719 
 1776 , 6709 
 2463 , 6703 
 1678 , 6699 
 1533 , 6686 
 2874 , 6657 
 2155 , 6647 
 2021 , 6643 
 2363 , 6640 
 2748 , 6612 
 2926 , 6608 
 1790 , 6604 
 1304 , 6596 
 1406 , 6573 
 2348 , 6557 
 2173 , 6526 
 2701 , 6510 
 3095 , 6497 
 2773 , 6493 
 2970 , 6478 
 2548 , 6468 
 1411 , 6463 
 2096 , 6460 
 1711 , 6458 
 3062 , 6454 
 2973 , 6445 
 2429 , 6442 
 1311 , 6435 
 2475 , 6432 
 2972 , 6417 
 2828 , 6413 
 2269 , 6410 
 1954 , 6405 
 1451 , 6395 
 2685 , 6393 
 1563 , 6387 
 3027 , 6371 
 2608 , 6354 
 2643 , 6332 
 2289 , 6311 
 2110 , 6305 
 2223 , 6304 
 2663 , 6304 
 3094 , 6288 
 2307 , 6282 
 1765 , 6268 
 1587 , 6263 
 3154 , 6240 
 3112 , 6177 
 2094 , 6160 
 2940 , 6159 
 2764 , 6157 
 2447 , 6156 
 2390 , 6148 
 1919 , 6147 
 2808 , 6142 
 2512 , 6139 
 2015 , 6116 
 2573 , 6109 
 2817 , 6076 
 2932 , 6065 
 2617 , 6051 
 2254 , 6029 
 2850 , 6020 
 2799 , 6009 
 2107 , 6005 
 2065 , 5982 
 2957 , 5965 
 2447 , 5950 
 2184 , 5928 
 2308 , 5918 
 2727 , 5910 
 2931 , 5906 
 1978 , 5904 
 2424 , 5904 
 2226 , 5883 
 2808 , 5874 
 3111 , 5834 
 1725 , 5830 
 2915 , 5811 
 2651 , 5769 
 1710 , 5742 
 2736 , 5700 
 2001 , 5637 
 1940 , 5627 
 2638 , 5621 
 1842 , 5608 
 2289 , 5564 
 2127 , 5562 
 1626 , 5531 
 1148 , 5461 
 1613 , 5455 
 2451 , 5451 
 1450 , 5429 
 2237 , 5423 
 2137 , 5422 
 1195 , 5416 
 2435 , 5372 
 1007 , 5371 
 2170 , 5366 
 1596 , 5355 
 1852 , 5352 
 1783 , 5337 
 1043 , 5277 
 1932 , 5201 
 1964 , 5196 
 1486 , 5174 
 1278 , 5142 
 1375 , 5133 
 1565 , 5084 
 1791 , 5036 
 1682 , 5034 
 2001 , 5017 
 1911 , 5016 
