"SPECIES: common name","Catfish"
"SPECIES: Latin  name","Ictalurus punctatus"
"RETINAL CELL TYPE NAME: as published","alpha-c RGCs"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-b"
"PRIMARY CITATION for these mosaics","Cook & Sharma (1995) J Comp Neurol 362: 331-349"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2C"
"RETINAL LOCATION of sampling field","VT/VN"
"NUMBER OF CELLS",106
"AREA OF SAMPLED FIELD (sq mm)",15.74
"TOTAL RETINAL AREA (sq mm)",56.94
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","large right retina; included in 3x overlay"
"X","Y"
 977 , 10688 
 630 , 10640 
 1275 , 10335 
 393 , 10148 
 622 , 10090 
 916 , 10072 
 1312 , 10052 
 1117 , 9894 
 1482 , 9892 
 760 , 9865 
 571 , 9790 
 1002 , 9739 
 761 , 9656 
 217 , 9356 
 850 , 9330 
 499 , 9276 
 1519 , 9164 
 207 , 9121 
 2134 , 9083 
 1139 , 9000 
 397 , 8742 
 1442 , 8730 
 1127 , 8608 
 2114 , 8602 
 1786 , 8530 
 843 , 8333 
 1550 , 8291 
 1270 , 8225 
 1873 , 8152 
 2159 , 8109 
 2521 , 7918 
 1636 , 7823 
 2137 , 7669 
 1813 , 7640 
 2759 , 7470 
 1552 , 7401 
 1826 , 7341 
 2367 , 7258 
 2175 , 7130 
 9715 , 7046 
 9482 , 7019 
 1959 , 7008 
 2265 , 6880 
 9718 , 6840 
 9146 , 6779 
 2395 , 6636 
 9814 , 6566 
 9511 , 6536 
 9247 , 6409 
 8575 , 6292 
 2731 , 6157 
 3416 , 6140 
 4432 , 6106 
 8792 , 6094 
 9077 , 6071 
 4683 , 6025 
 3793 , 6016 
 8118 , 5921 
 2516 , 5861 
 3034 , 5856 
 8962 , 5791 
 5375 , 5752 
 3466 , 5752 
 5041 , 5627 
 8522 , 5613 
 5716 , 5555 
 4096 , 5530 
 4818 , 5526 
 5109 , 5499 
 7236 , 5411 
 5546 , 5395 
 8850 , 5376 
 2416 , 5295 
 8201 , 5283 
 3981 , 5267 
 3495 , 5266 
 9222 , 5256 
 6145 , 5196 
 5042 , 5184 
 4519 , 5147 
 3241 , 5131 
 4183 , 5118 
 7429 , 5115 
 4748 , 5100 
 2998 , 5100 
 2731 , 5081 
 2343 , 4980 
 8473 , 4978 
 5151 , 4880 
 9515 , 4873 
 6168 , 4862 
 6128 , 4650 
 4843 , 4613 
 4454 , 4594 
 6861 , 4579 
 8111 , 4533 
 5790 , 4477 
 4530 , 4352 
 4216 , 4349 
 3970 , 4338 
 5193 , 4317 
 6969 , 4311 
 4785 , 4244 
 6818 , 4066 
 4756 , 4033 
 5151 , 3911 
