"SPECIES: common name","Catfish"
"SPECIES: Latin  name","Ictalurus punctatus"
"RETINAL CELL TYPE NAME: as published","alpha-b RGCs"
"OTHER MOSAICS in same sampling field","alpha-a, alpha-c"
"PRIMARY CITATION for these mosaics","Cook & Sharma (1995) J Comp Neurol 362: 331-349"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 2B"
"RETINAL LOCATION of sampling field","VT/VN"
"NUMBER OF CELLS",125
"AREA OF SAMPLED FIELD (sq mm)",15.74
"TOTAL RETINAL AREA (sq mm)",56.94
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","large right retina; included in 3x overlay"
"X","Y"
 1175 , 10894 
 734 , 10690 
 974 , 10547 
 1951 , 10330 
 1365 , 10227 
 353 , 10167 
 958 , 10139 
 1654 , 10103 
 1920 , 10072 
 663 , 10054 
 2188 , 9972 
 1643 , 9897 
 1025 , 9856 
 430 , 9811 
 1823 , 9780 
 826 , 9720 
 1552 , 9648 
 1160 , 9551 
 1418 , 9405 
 986 , 9355 
 648 , 9348 
 2151 , 9314 
 314 , 9301 
 1778 , 9258 
 1374 , 9132 
 1570 , 9117 
 1110 , 9095 
 2098 , 8932 
 1794 , 8921 
 837 , 8805 
 1359 , 8582 
 1614 , 8563 
 898 , 8447 
 1459 , 8269 
 731 , 8261 
 2003 , 8050 
 1911 , 7692 
 1468 , 7601 
 10147 , 7434 
 2672 , 7338 
 1909 , 7325 
 2401 , 7146 
 9930 , 7087 
 2988 , 6969 
 9686 , 6917 
 10235 , 6844 
 9840 , 6803 
 2556 , 6747 
 9250 , 6746 
 9611 , 6646 
 2403 , 6559 
 8656 , 6505 
 2832 , 6503 
 3601 , 6456 
 9156 , 6385 
 9479 , 6363 
 3952 , 6313 
 8539 , 6109 
 8258 , 6097 
 4572 , 6017 
 3550 , 5990 
 8768 , 5982 
 2817 , 5947 
 8985 , 5923 
 7890 , 5911 
 3821 , 5887 
 3182 , 5884 
 4485 , 5867 
 8330 , 5845 
 4983 , 5681 
 2722 , 5674 
 3952 , 5633 
 4421 , 5621 
 3046 , 5615 
 3704 , 5611 
 8492 , 5597 
 5931 , 5513 
 8115 , 5458 
 2718 , 5422 
 4656 , 5390 
 4245 , 5336 
 5246 , 5335 
 4001 , 5308 
 2952 , 5297 
 5865 , 5294 
 8403 , 5282 
 9299 , 5281 
 7386 , 5272 
 3701 , 5245 
 6715 , 5231 
 4884 , 5184 
 2771 , 5167 
 2311 , 5148 
 8184 , 5136 
 6060 , 5113 
 3253 , 5088 
 7836 , 5044 
 5488 , 5039 
 4746 , 5000 
 6829 , 5000 
 4073 , 4950 
 9070 , 4938 
 5122 , 4925 
 3226 , 4875 
 4210 , 4730 
 5302 , 4653 
 4221 , 4537 
 4580 , 4465 
 6275 , 4464 
 5968 , 4455 
 6669 , 4437 
 4890 , 4434 
 5451 , 4412 
 4919 , 4266 
 7553 , 4242 
 5150 , 4206 
 7063 , 4141 
 5953 , 4122 
 5505 , 4102 
 7263 , 4059 
 4505 , 4055 
 4980 , 4024 
 5283 , 3973 
 4772 , 3863 
 5105 , 3786 
