"SPECIES: common name","South African clawed frog"
"SPECIES: Latin  name","Xenopus laevis"
"RETINAL CELL TYPE NAME: as published","alpha-a (displaced)"
"OTHER MOSAICS in same sampling field","alpha-a (orthotopic), alpha-ab, alpha-c"
"PRIMARY CITATION for these mosaics","Shamim, Tóth, Cook (1997) Vis Neurosci 14:811-826"
"MOSAIC/FIELD-BORDER: published fig(s)","Fig 7A (filled triangles)"
"RETINAL LOCATION of sampling field","right eye, almost complete"
"NUMBER OF CELLS",16
"AREA OF SAMPLED FIELD (sq mm)",16.15
"TOTAL RETINAL AREA (sq mm)",17.0
"UNIT OF X,Y (microns)",0.8333
"COMMENTS","see Table 1 for NND/DRP analysis data"
"X","Y"
 3692 , 9377 
 3799 , 9032 
 5823 , 8903 
 3450 , 8744 
 5427 , 8599 
 2651 , 8269 
 5859 , 7339 
 3215 , 7244 
 2347 , 7206 
 3891 , 7144 
 1625 , 6762 
 2342 , 6617 
 3768 , 6349 
 1756 , 6184 
 2129 , 6064 
 2556 , 5153 
